Disease,Category,Severity,Symptoms,Additional_Symptoms,Risk_Factors
Influenza,Respiratory,Moderate,"Fever, dry cough, sore throat, muscle aches, headache, fatigue","Chills, runny nose, vomiting, diarrhea (in children)","Age over 65, pregnancy, weak immune system, chronic illness"
Common Cold,Respiratory,Mild,"Runny nose, sneezing, nasal congestion, sore throat, mild cough","Mild fatigue, watery eyes, mild headache","Close contact with infected person, weakened immunity, cold weather"
COVID-19,Respiratory,Mild to Critical,"Fever, dry cough, shortness of breath, fatigue, loss of taste or smell","Chest pain, confusion, sore throat, muscle pain, diarrhea","Elderly, obesity, diabetes, cardiovascular disease, unvaccinated"
Pneumonia,Respiratory,Moderate to Severe,"Chest pain when breathing, productive cough with phlegm, high fever, chills","Shortness of breath, sweating, shaking, bluish lips","Age extremes, smoking, chronic lung disease, weak immunity"
Tuberculosis,Respiratory,Severe,"Persistent cough lasting 3+ weeks, coughing blood, chest pain, night sweats","Unintentional weight loss, fatigue, fever, chills, loss of appetite","HIV infection, malnutrition, overcrowded living, smoking, diabetes"
Asthma,Respiratory,Moderate,"Wheezing, shortness of breath, chest tightness, chronic cough","Coughing worsens at night or early morning, exercise-induced symptoms","Allergies, family history, smoking, air pollution, respiratory infections"
Bronchitis,Respiratory,Mild to Moderate,"Persistent cough with mucus, fatigue, shortness of breath, chest discomfort","Low-grade fever, chills, sore throat, body aches","Smoking, viral infections, air pollution, weak immunity"
Sinusitis,Respiratory,Mild,"Facial pain and pressure, nasal congestion, thick nasal discharge, headache","Reduced sense of smell, cough, ear pain, bad breath, fatigue","Allergies, nasal polyps, deviated septum, respiratory infections"
Dengue,Infectious,Moderate to Severe,"High fever above 104F, severe headache, pain behind eyes, joint and muscle pain","Nausea, vomiting, swollen glands, skin rash, mild bleeding","Tropical climate, Aedes mosquito exposure, previous dengue infection"
Malaria,Infectious,Moderate to Severe,"Cyclical fever, chills, sweating, headache, muscle pain","Nausea, vomiting, anemia, jaundice, rapid breathing","Tropical travel, mosquito exposure, no prophylaxis, weak immunity"
Typhoid,Infectious,Moderate,"Prolonged high fever, weakness, stomach pain, headache, loss of appetite","Diarrhea or constipation, rash of flat rose-colored spots, dry cough","Contaminated food or water, poor sanitation, travel to endemic areas"
Cholera,Infectious,Severe,"Profuse watery diarrhea like rice water, severe dehydration, vomiting","Muscle cramps, sunken eyes, dry mouth, rapid heart rate","Contaminated water, poor sanitation, crowded conditions, antacid use"
Meningitis,Neurological,Severe,"Sudden severe headache, high fever, stiff neck, photophobia","Nausea, vomiting, altered consciousness, seizures, skin rash","Age under 5 or over 65, weak immunity, living in dormitories, no vaccination"
Encephalitis,Neurological,Severe,"High fever, severe headache, confusion, stiff neck, sensitivity to light","Seizures, loss of consciousness, hallucinations, memory loss","Viral infections, mosquito bites, weak immunity, age extremes"
Epilepsy,Neurological,Moderate to Severe,"Seizures, loss of consciousness, staring spells, uncontrolled jerking","Temporary confusion, fear or anxiety before seizure, falling","Head injury, stroke, brain infection, genetic factors, brain tumor"
Stroke,Neurological,Severe,"Sudden numbness or weakness in face or limbs, sudden confusion, trouble speaking","Loss of coordination, sudden severe headache, vision problems","Hypertension, smoking, diabetes, atrial fibrillation, obesity"
Multiple Sclerosis,Neurological,Moderate to Severe,"Muscle weakness, vision problems, balance issues, numbness or tingling","Fatigue, coordination problems, bladder issues, cognitive changes","Female sex, age 20-40, family history, smoking, low vitamin D"
Alzheimer's Disease,Neurological,Severe,"Memory loss affecting daily life, confusion, difficulty solving problems","Mood and personality changes, difficulty speaking, wandering, poor judgment","Age over 65, family history, Down syndrome, head trauma, poor sleep"
Parkinson's Disease,Neurological,Moderate to Severe,"Tremors at rest, slow movements, muscle stiffness, balance issues","Soft speech, mask-like facial expression, stooped posture, freezing","Age over 60, male sex, family history, pesticide exposure, head injury"
Migraine,Neurological,Moderate,"Severe throbbing headache usually on one side, nausea, sensitivity to light and sound","Visual aura or zigzag lines, vomiting, pain worsens with activity","Family history, female sex, hormonal changes, stress, certain foods"
Hypertension,Cardiovascular,Moderate to Severe,"Headache, dizziness, blurred vision, chest pain, shortness of breath","Nosebleeds, irregular heartbeat, blood in urine, pounding in ears","Obesity, high sodium diet, sedentary lifestyle, smoking, family history"
Diabetes Type 2,Metabolic,Moderate,"Frequent urination, increased thirst, unexplained weight loss, blurred vision","Slow healing wounds, frequent infections, tingling in hands or feet, fatigue","Obesity, physical inactivity, family history, age over 45, prediabetes"
Diabetes Type 1,Metabolic,Severe,"Extreme thirst, frequent urination, unintended weight loss, fatigue","Blurred vision, fruity-smelling breath, irritability, bed-wetting in children","Genetic predisposition, family history, exposure to certain viruses"
Hypothyroidism,Endocrine,Mild to Moderate,"Weight gain, fatigue, cold intolerance, constipation, depression","Dry skin, puffy face, brittle nails, muscle weakness, elevated cholesterol","Female sex, age over 60, autoimmune disease, previous thyroid treatment"
Hyperthyroidism,Endocrine,Moderate,"Unintentional weight loss, rapid heartbeat, anxiety, irritability, sweating","Tremors, heat intolerance, frequent bowel movements, enlarged thyroid","Family history, female sex, other autoimmune diseases, iodine excess"
Anemia,Hematologic,Mild to Moderate,"Fatigue, weakness, pale or yellowish skin, irregular heartbeat, shortness of breath","Dizziness, chest pain, cold extremities, headache, brittle nails","Poor diet, pregnancy, chronic disease, blood loss, genetic conditions"
Arthritis,Musculoskeletal,Moderate,"Joint pain, swelling, stiffness, decreased range of motion, redness around joints","Warmth around joints, fatigue, fever in some types, joint deformity over time","Age, obesity, joint injury, family history, sex (women more for RA)"
Osteoporosis,Musculoskeletal,Moderate,"Bone fractures from minor trauma, loss of height over time, back pain","Stooped posture, bones that break more easily, neck or back pain","Female sex, age, low calcium, smoking, sedentary lifestyle, family history"
Gout,Musculoskeletal,Moderate,"Sudden intense joint pain especially in big toe, swelling, redness, warmth","Lingering discomfort, limited joint movement, kidney stones","High-purine diet, alcohol, obesity, diuretics, family history"
Fibromyalgia,Musculoskeletal,Moderate,"Widespread musculoskeletal pain, fatigue, sleep problems, memory issues","Headaches, IBS symptoms, depression, anxiety, sensitivity to touch","Female sex, family history, rheumatic disease, PTSD, stress"
Gastroenteritis,Gastrointestinal,Mild to Moderate,"Diarrhea, nausea, vomiting, abdominal cramps, low-grade fever","Headache, muscle aches, loss of appetite, dehydration","Contaminated food or water, contact with infected person, poor hygiene"
Peptic Ulcer,Gastrointestinal,Moderate,"Burning stomach pain, bloating, heartburn, nausea, dark or tarry stools","Vomiting blood, weight loss, loss of appetite, pain worsens when empty","H. pylori infection, NSAID use, smoking, stress, alcohol"
Hepatitis B,Gastrointestinal,Moderate to Severe,"Abdominal pain, jaundice, dark urine, fatigue, nausea","Joint pain, fever, loss of appetite, clay-colored stools","Unprotected sex, sharing needles, mother-to-child, unsterilized equipment"
Hepatitis C,Gastrointestinal,Moderate to Severe,"Fatigue, jaundice, abdominal pain, nausea, dark urine","Clay-colored stools, joint pain, easy bruising, bleeding","Sharing needles, blood transfusions before 1992, unsterile tattoo equipment"
Cirrhosis,Gastrointestinal,Severe,"Fatigue, jaundice, swelling in legs and abdomen, easy bruising","Confusion, spider veins, redness on palms, loss of appetite, weight loss","Chronic alcohol use, hepatitis B or C, fatty liver disease"
Kidney Stones,Urological,Moderate to Severe,"Severe flank or back pain radiating to groin, blood in urine, nausea","Frequent urination, pain during urination, cloudy or foul-smelling urine","Dehydration, high-sodium diet, obesity, family history, certain supplements"
Urinary Tract Infection,Urological,Mild to Moderate,"Painful or burning urination, frequent urge to urinate, cloudy urine, strong odor","Pelvic pain, blood in urine, low-grade fever, back pain if kidney involved","Female anatomy, sexual activity, menopause, urinary tract abnormalities"
Lupus,Autoimmune,Moderate to Severe,"Butterfly rash on face, joint pain and swelling, fatigue, fever","Hair loss, chest pain, sensitivity to sunlight, Raynaud's phenomenon","Female sex, age 15-45, family history, sun exposure, certain medications"
Psoriasis,Dermatological,Mild to Moderate,"Red patches covered with silvery scales, dry cracked skin, itching and burning","Thickened pitted nails, swollen joints, soreness around patches","Family history, infections, stress, smoking, obesity, medications"
Eczema,Dermatological,Mild,"Itchy inflamed skin, dry scaly patches, skin redness, crusting or oozing","Thickened leathery skin from scratching, swelling, skin discoloration","Genetic factors, allergies, asthma, dry skin, irritants, stress"
Acne,Dermatological,Mild,"Whiteheads, blackheads, pimples, oily skin, painful cysts or nodules","Scarring, skin redness around breakouts, inflammation","Hormonal changes, bacteria, excess oil, certain medications, diet"
Fungal Infection,Dermatological,Mild,"Red itchy circular patches, scaly skin, blisters, skin peeling","Thickened discolored nails, athlete's foot, jock itch, dandruff","Warm humid climate, shared spaces, weak immunity, antibiotics, diabetes"
Chickenpox,Infectious,Mild to Moderate,"Blister-like itchy rash starting on trunk, fever, fatigue, loss of appetite","Headache, sore throat, skin crusting over blisters after a week","Unvaccinated, no prior infection, weak immunity, close contact"
Measles,Infectious,Moderate,"High fever, dry cough, runny nose, inflamed eyes, skin rash","White spots inside mouth, rash spreading from face downward","Unvaccinated, travel to endemic areas, immune deficiency"
HIV/AIDS,Infectious,Severe,"Rapid weight loss, recurrent infections, night sweats, prolonged fatigue","Swollen lymph nodes, diarrhea, mouth sores, memory loss, skin rashes","Unprotected sex, sharing needles, blood transfusion, mother-to-child"
Lyme Disease,Infectious,Moderate,"Bullseye-shaped rash, fever, chills, fatigue, joint pain","Headache, muscle pain, neck stiffness, dizziness, heart palpitations","Tick exposure, wooded or grassy areas, outdoor activities"
Depression,Mental Health,Moderate to Severe,"Persistent sadness, loss of interest in activities, fatigue, sleep disturbances","Appetite changes, difficulty concentrating, feelings of worthlessness, suicidal thoughts","Trauma, family history, chronic illness, social isolation, substance abuse"
Anxiety Disorders,Mental Health,Moderate,"Excessive worry, restlessness, difficulty concentrating, irritability","Muscle tension, sleep disturbances, rapid heartbeat, sweating, avoidance","Trauma, stress, family history, chronic disease, substance use, personality"
Bipolar Disorder,Mental Health,Moderate to Severe,"Extreme mood swings between mania and depression, impulsive behavior","Elevated mood, decreased need for sleep, grandiosity, racing thoughts","Family history, brain chemistry, stress, substance abuse, major life events"
PTSD,Mental Health,Moderate to Severe,"Flashbacks, nightmares, severe anxiety after trauma, emotional numbness","Avoidance of triggers, hypervigilance, negative thoughts, anger outbursts","Combat, sexual assault, accidents, natural disasters, childhood abuse"
Insomnia,Mental Health,Mild to Moderate,"Difficulty falling asleep, staying asleep, waking too early, daytime fatigue","Irritability, difficulty concentrating, anxiety about sleep, daytime sleepiness","Stress, poor sleep habits, mental health disorders, medications, caffeine"
Schizophrenia,Mental Health,Severe,"Hallucinations, delusions, disorganized thinking and speech, social withdrawal","Flat affect, lack of motivation, poor hygiene, cognitive impairment","Genetic predisposition, brain chemistry, prenatal stress, drug use"
Lung Cancer,Oncological,Severe,"Persistent cough, coughing blood, chest pain, shortness of breath, hoarseness","Unexplained weight loss, bone pain, headache, recurring pneumonia","Smoking, secondhand smoke, radon exposure, asbestos, family history"
Breast Cancer,Oncological,Moderate to Severe,"Lump in breast or underarm, nipple discharge or inversion, breast shape changes","Skin dimpling, redness or scaling around nipple, swollen lymph nodes","Female sex, age, family history, genetic mutations, hormone therapy"
Colorectal Cancer,Oncological,Moderate to Severe,"Change in bowel habits, blood in stool, abdominal pain, unexplained weight loss","Weakness, fatigue, feeling bowel not fully empty, rectal bleeding","Age over 50, family history, red meat diet, obesity, inflammatory bowel disease"
Leukemia,Oncological,Severe,"Frequent infections, bruising or bleeding easily, fatigue, swollen lymph nodes","Bone pain, fever, night sweats, tiny red spots on skin, pale skin","Radiation exposure, certain chemical exposure, genetic disorders, smoking"
Food Poisoning,Gastrointestinal,Mild to Moderate,"Nausea, vomiting, diarrhea, stomach cramps, fever","Weakness, headache, muscle aches, dehydration, blood in stool in severe cases","Undercooked meat, unpasteurized dairy, contaminated produce, poor hygiene"
Irritable Bowel Syndrome,Gastrointestinal,Mild to Moderate,"Abdominal pain relieved by defecation, bloating, alternating diarrhea and constipation","Mucus in stool, sense of incomplete emptying, urgency","Stress, certain foods, hormonal changes, gut microbiome, previous infection"
Appendicitis,Gastrointestinal,Severe,"Sudden severe pain starting around navel and moving to lower right abdomen, nausea","Vomiting, fever, loss of appetite, abdominal rigidity, inability to pass gas","Age 10-30, male sex, family history, low-fiber diet"
Pancreatitis,Gastrointestinal,Moderate to Severe,"Severe upper abdominal pain radiating to back, nausea, vomiting, fever","Rapid pulse, swollen or tender abdomen, worsens after eating","Gallstones, heavy alcohol use, high triglycerides, certain medications"
Heart Attack,Cardiovascular,Severe,"Crushing chest pain or pressure, pain radiating to arm or jaw, shortness of breath, cold sweat","Nausea, lightheadedness, fatigue, upper back pain, anxiety","Smoking, hypertension, high cholesterol, diabetes, obesity, family history"
Heart Failure,Cardiovascular,Severe,"Shortness of breath on exertion or lying flat, persistent cough with pink mucus, leg swelling","Rapid weight gain from fluid, fatigue, reduced exercise tolerance, irregular heartbeat","Coronary artery disease, hypertension, diabetes, obesity, previous heart attack"
Atrial Fibrillation,Cardiovascular,Moderate to Severe,"Irregular rapid heartbeat, heart palpitations, fatigue, dizziness, shortness of breath","Chest pain, confusion, exercise intolerance, lightheadedness","Age over 60, hypertension, heart disease, hyperthyroidism, heavy alcohol use"
Coronary Artery Disease,Cardiovascular,Moderate to Severe,"Chest pain on exertion (angina), shortness of breath, fatigue, heart palpitations","Sweating, nausea, dizziness, jaw or arm pain during activity","High cholesterol, smoking, diabetes, hypertension, obesity, family history"
Deep Vein Thrombosis,Cardiovascular,Moderate to Severe,"Leg pain and tenderness, leg swelling, warmth and redness over affected area","Skin discoloration, enlarged veins near surface, calf cramp","Prolonged immobility, surgery, cancer, pregnancy, oral contraceptives, obesity"
Peripheral Artery Disease,Cardiovascular,Moderate,"Leg pain when walking that resolves with rest (claudication), leg numbness or weakness","Cold lower legs, weak pulse in legs, slow wound healing, erectile dysfunction","Smoking, diabetes, hypertension, high cholesterol, age over 50"
Rheumatoid Arthritis,Autoimmune,Moderate to Severe,"Tender swollen joints symmetrically, morning stiffness lasting over an hour, joint warmth","Fatigue, fever, weight loss, firm bumps under skin, joint deformity","Female sex, age 40-60, family history, smoking, obesity, environmental triggers"
Celiac Disease,Autoimmune,Moderate,"Diarrhea after eating gluten, abdominal bloating and pain, fatigue, weight loss","Anemia, bone loss, skin rash, mouth ulcers, neurological symptoms","Family history, other autoimmune conditions, genetic predisposition"
Sjogren's Syndrome,Autoimmune,Moderate,"Severely dry eyes, persistently dry mouth, joint pain and swelling, fatigue","Swollen salivary glands, skin rashes, vaginal dryness, persistent dry cough","Female sex, age 40-60, other autoimmune conditions, family history"
Type 1 Diabetes Complications,Autoimmune,Severe,"Diabetic ketoacidosis, extreme thirst, fruity breath odor, abdominal pain","Confusion, weakness, vomiting, rapid breathing, dehydration","Uncontrolled blood sugar, infection, missed insulin doses, illness"
Prostate Cancer,Oncological,Moderate to Severe,"Difficulty urinating, weak urine stream, blood in urine or semen, pelvic discomfort","Bone pain especially in back or hips, erectile dysfunction, weight loss","Age over 65, African American ethnicity, family history, obesity"
Bladder Cancer,Oncological,Moderate to Severe,"Blood in urine without pain, frequent urination, painful urination, back or pelvic pain","Urinary urgency, weak urine stream, urinary incontinence","Smoking, chemical exposure, chronic bladder infections, age over 55"
